City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,kutum,14.2,24.6667,291.3,17,8,3.6,SD,1681443021
327,salalah,17.0151,54.0924,301.2,74,20,1.03,OM,1681443022
328,kamaishi,39.2667,141.8833,288.62,62,71,6.79,JP,1681443023
329,sainte-marie,-20.8968,55.5496,298.74,83,90,3.09,RE,1681443024
330,road town,18.4167,-64.6167,299.2,75,2,6.88,VG,1681442461
331,karratha,-20.7377,116.8463,305.2,32,89,8.61,AU,1681443025
332,kieta,-6.2167,155.6333,301.2,78,97,0.97,PG,1681443026
333,onega,63.9061,38.1404,265.26,85,23,2.15,RU,1681443028
334,pointe-noire,-4.7761,11.8635,298.19,94,20,1.03,CG,1681443028
335,abu samrah,35.3029,37.1841,283.18,88,0,3.88,SY,1681443029
336,oranjemund,-28.55,16.4333,287.65,93,100,4.05,NA,1681442474
337,kruisfontein,-34.0033,24.7314,288.64,78,52,12.43,ZA,1681443035
338,poum,-20.2333,164.0167,298.1,86,100,4.53,NC,1681442437
339,nishihara,26.1842,127.7558,298.75,87,100,5.66,JP,1681443038
340,stevens point,44.5236,-89.5746,293.34,40,4,2.68,US,1681442974
341,nouadhibou,20.931,-17.0347,293.14,88,0,4.12,MR,1681443038
342,ugoofaaru,5.6667,73.0,301.53,75,18,2.82,MV,1681443039
343,christchurch,-43.5333,172.6333,289.49,69,75,4.63,NZ,1681442905
344,beira,-19.8436,34.8389,296.2,100,20,2.06,MZ,1681443040
345,bahia honda,22.9036,-83.1592,296.68,80,9,0.83,CU,1681443040
346,hervey bay,-25.2986,152.8535,297.44,44,0,4.0,AU,1681443041
347,markova,48.6758,24.4138,277.61,80,23,1.68,UA,1681443042
348,basco,20.4487,121.9702,299.33,87,98,5.32,PH,1681442712
349,altamont,42.2068,-121.7372,280.06,24,100,5.66,US,1681442875
350,chojnow,51.2737,15.9366,279.86,93,100,2.84,PL,1681443043
351,linxia,35.6003,103.2064,282.73,53,69,3.13,CN,1681443043
352,darab,28.7519,54.5444,293.05,61,99,1.9,IR,1681443044
353,fortuna,40.5982,-124.1573,281.85,76,30,2.2,US,1681443044
354,san juan de los morros,9.9115,-67.3538,296.45,67,63,2.04,VE,1681443045
355,monaragala,6.8714,81.3487,305.02,51,19,1.89,LK,1681443045
356,tual,-5.6667,132.75,301.89,71,18,2.45,ID,1681443045
357,waingapu,-9.6567,120.2641,301.43,76,100,2.36,ID,1681442451
358,hirara,24.8,125.2833,299.3,89,75,5.66,JP,1681442930
359,vardo,70.3705,31.1107,270.14,68,48,4.63,NO,1681443047
